
"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip",":@computed_region_awaf_s7ux",":@computed_region_6mkv_f3dw",":@computed_region_vrxf_vc4k",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_rpca_8um6",":@computed_region_d9mm_jgwp",":@computed_region_d3ds_rm58"
"11840015","JC447424","2019-09-24T22:00:00.000","018XX W JUNEWAY TER","1305","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","CTA GARAGE / OTHER PROPERTY","false","false","2422","024","49","1","14","1162839","1951492","2019","2019-10-01T16:20:30.000","42.022547189","-87.676073253","POINT (-87.676073253 42.022547189)","","","","","3","21853","10","340","5","9","11","32"
"11840057","JC447446","2019-09-24T22:00:00.000","054XX W FERDINAND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1523","015","37","25","14","1140048","1902622","2019","2019-10-01T16:20:30.000","41.888893039","-87.761147298","POINT (-87.761147298 41.888893039)","","","","","11","22216","26","673","45","32","25","84"
"11839982","JC447374","2019-09-24T22:00:00.000","126XX S EMERALD AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","false","0523","005","34","53","08A","1173626","1820982","2019","2019-10-01T16:20:30.000","41.664182979","-87.640252496","POINT (-87.640252496 41.664182979)","","","","","45","21861","50","7","22","19","10","218"
"11839850","JC447243","2019-09-24T21:45:00.000","038XX W 81ST PL","0530","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","STREET","false","true","0834","008","18","70","04A","1152168","1850264","2019","2019-10-01T16:20:30.000","41.744985103","-87.718014469","POINT (-87.718014469 41.744985103)","","","","","6","4300","69","199","30","8","13","232"
"11840410","JC447612","2019-09-24T21:45:00.000","069XX S CREGIER AVE","0810","THEFT","OVER $500","STREET","false","false","0332","003","5","43","06","1189400","1859338","2019","2019-10-01T16:20:30.000","41.769073384","-87.581301147","POINT (-87.581301147 41.769073384)","","","","","32","22538","39","381","33","24","18","212"
"11839905","JC447267","2019-09-24T21:44:00.000","025XX N MILWAUKEE AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE-GARAGE","false","false","1414","014","32","22","05","1155420","1916681","2019","2019-10-01T16:20:30.000","41.927177003","-87.704316385","POINT (-87.704316385 41.927177003)","","","","","15","22535","23","549","40","1","7","182"
"11839846","JC447253","2019-09-24T21:44:00.000","049XX N MILWAUKEE AVE","1330","CRIMINAL TRESPASS","TO LAND","RESTAURANT","true","false","1623","016","45","11","26","1139401","1932248","2019","2019-10-01T16:20:30.000","41.970201736","-87.7627994","POINT (-87.7627994 41.970201736)","","","","","20","21869","11","129","50","48","12","58"
"11839847","JC447250","2019-09-24T21:40:00.000","051XX W NORTH AVE","0890","THEFT","FROM BUILDING","RESTAURANT","false","false","2533","025","37","25","06","1141672","1910146","2019","2019-10-01T16:20:30.000","41.909509901","-87.754996996","POINT (-87.754996996 41.909509901)","","","","","4","22615","26","600","45","5","6","195"
"11839848","JC447216","2019-09-24T21:32:00.000","049XX W WABANSIA AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","2533","025","37","25","08B","1143048","1910847","2019","2019-10-01T16:20:30.000","41.911407951","-87.749924589","POINT (-87.749924589 41.911407951)","","","","","4","22615","26","523","45","2","6","195"
"11840231","JC447518","2019-09-24T21:30:00.000","014XX W 84TH ST","0610","BURGLARY","FORCIBLE ENTRY","PARK PROPERTY","false","false","0614","006","21","71","05","1168095","1849042","2019","2019-10-01T16:20:30.000","41.741304411","-87.659690327","POINT (-87.659690327 41.741304411)","","","","","18","21554","70","531","13","59","20","237"
"11839816","JC447249","2019-09-24T21:30:00.000","005XX E 51ST ST","0560","ASSAULT","SIMPLE","HOSPITAL BUILDING/GROUNDS","false","false","0223","002","3","38","08A","1180467","1871309","2019","2019-10-01T16:20:30.000","41.802132606","-87.613677631","POINT (-87.613677631 41.802132606)","","","","","1","21192","7","218","10","10","24","124"
"11839910","JC447268","2019-09-24T21:30:00.000","066XX S BISHOP ST","031A","ROBBERY","ARMED: HANDGUN","SIDEWALK","false","false","0725","007","16","67","03","1167811","1860649","2019","2019-10-01T16:20:30.000","41.773161684","-87.66039823","POINT (-87.66039823 41.773161684)","","","","","17","22257","65","284","2","23","17","204"
"11839925","JC447223","2019-09-24T21:30:00.000","011XX S MOZART ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","false","true","1135","011","28","29","08B","1157532","1894912","2019","2019-10-01T16:20:30.000","41.867398176","-87.697148807","POINT (-87.697148807 41.867398176)","","","","","11","21184","30","35","23","28","16","146"
"11839882","JC447241","2019-09-24T21:23:00.000","022XX S DAMEN AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","ALLEY","false","false","1034","010","25","31","15","1163383","1889267","2019","2019-10-01T16:20:30.000","41.851786766","-87.675827594","POINT (-87.675827594 41.851786766)","","","","","8","14920","33","126","26","43","21","159"
"11839843","JC447252","2019-09-24T21:22:00.000","095XX S GENOA AVE","4650","OTHER OFFENSE","SEX OFFENDER: FAIL TO REGISTER","STREET","false","false","2223","022","21","73","26","1170937","1841612","2019","2019-10-01T16:20:30.000","41.72085392","-87.649493693","POINT (-87.649493693 41.72085392)","","","","","18","22212","72","592","13","13","9","243"
"11839947","JC447196","2019-09-24T21:19:00.000","0000X W 111TH ST","2820","OTHER OFFENSE","TELEPHONE THREAT","HOSPITAL BUILDING/GROUNDS","false","false","0522","005","34","49","08A","1177873","1831361","2019","2019-10-01T16:20:30.000","41.692569761","-87.624397882","POINT (-87.624397882 41.692569761)","","","","","45","21861","45","524","22","19","10","260"
"11839857","JC447233","2019-09-24T21:18:00.000","111XX S STATE ST","1330","CRIMINAL TRESPASS","TO LAND","GAS STATION","false","false","0522","005","34","49","26","1178229","1831287","2019","2019-10-01T16:20:30.000","41.692358646","-87.623096746","POINT (-87.623096746 41.692358646)","","","","","30","21861","45","253","43","19","10","265"
"11839876","JC447246","2019-09-24T21:17:00.000","066XX S WASHTENAW AVE","0420","BATTERY","AGGRAVATED:KNIFE/CUTTING INSTR","APARTMENT","false","true","0831","008","17","66","04B","1159518","1860550","2019","2019-10-01T16:20:30.000","41.773064058","-87.690801214","POINT (-87.690801214 41.773064058)","","","","","44","21867","64","382","31","58","13","208"
"11842568","JC450467","2019-09-24T21:15:00.000","055XX W HOMER ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false","2515","025","37","25","06",,,"2019","2019-10-01T16:20:30.000",,,,,,,,,,,,,,,
